# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 48K of event 'cycles'
# Event count (approx.): 123776222208
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.06%            29  redis-server     [nf_conntrack]    [k] nf_confirm
     0.06%            27  redis-server     [kernel.vmlinux]  [k] irqtime_account_irq
     0.06%            28  redis-server     [kernel.vmlinux]  [k] update_curr
     0.06%            26  redis-server     [kernel.vmlinux]  [k] sock_recvmsg
     0.06%            27  redis-server     [nf_conntrack]    [k] hash_conntrack_raw
     0.06%            27  redis-server     [kernel.vmlinux]  [k] get_freelist
     0.06%            26  redis-server     [kernel.vmlinux]  [k] napi_skb_cache_get
     0.05%            27  redis-server     [kernel.vmlinux]  [k] ip_sublist_rcv
     0.05%            26  redis-server     [mlx5_core]       [k] 0x000000000004bfbc
     0.05%            26  redis-server     [kernel.vmlinux]  [k] _raw_write_unlock_irq
     0.05%            27  redis-server     redis-server      [.] sdsIncrLen
     0.05%            26  redis-server     [kernel.vmlinux]  [k] tcp_write_xmit
     0.05%            25  redis-server     [kernel.vmlinux]  [k] tcp_data_ready
     0.05%            26  redis-server     redis-server      [.] call
     0.05%            26  redis-server     [kernel.vmlinux]  [k] mutex_lock
     0.05%            26  redis-server     [kernel.vmlinux]  [k] napi_gro_receive
     0.05%            25  redis-server     [kernel.vmlinux]  [k] __ip_finish_output
     0.05%            25  redis-server     [kernel.vmlinux]  [k] cgroup_rstat_updated
     0.05%            24  redis-server     [kernel.vmlinux]  [k] tcp4_gro_receive
     0.05%            24  redis-server     [kernel.vmlinux]  [k] netif_skb_features
     0.05%            24  redis-server     [kernel.vmlinux]  [k] __napi_schedule
     0.05%            25  redis-server     [kernel.vmlinux]  [k] tcp_rtt_estimator
     0.05%            24  redis-server     [kernel.vmlinux]  [k] release_sock
     0.05%            24  redis-server     [kernel.vmlinux]  [k] cpuacct_charge
     0.05%            23  redis-server     [kernel.vmlinux]  [k] napi_complete_done
     0.05%            23  redis-server     [kernel.vmlinux]  [k] queued_write_lock_slowpath
     0.05%            23  redis-server     [kernel.vmlinux]  [k] skb_try_coalesce
     0.05%            23  redis-server     [kernel.vmlinux]  [k] net_dim
     0.05%            23  redis-server     [kernel.vmlinux]  [k] skb_copy_datagram_iter
     0.05%            23  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock
     0.05%            23  redis-server     [mlx5_core]       [k] 0x000000000004d99e
     0.05%            24  redis-server     [kernel.vmlinux]  [k] napi_schedule_prep
     0.05%            23  redis-server     [mlx5_core]       [k] 0x000000000000bd1f
     0.05%            23  redis-server     [kernel.vmlinux]  [k] idle_cpu
     0.05%            22  redis-server     [kernel.vmlinux]  [k] validate_xmit_skb_list
     0.04%            22  redis-server     [nf_nat]          [k] nf_nat_ipv4_out
     0.04%            21  redis-server     [kernel.vmlinux]  [k] get_nohz_timer_target
     0.04%            22  redis-server     [kernel.vmlinux]  [k] __netif_receive_skb_list_core
     0.04%            22  redis-server     [kernel.vmlinux]  [k] select_estimate_accuracy
     0.04%            22  redis-server     redis-server      [.] processCommand
     0.04%            21  redis-server     [kernel.vmlinux]  [k] ip_output
     0.04%            21  redis-server     [kernel.vmlinux]  [k] update_sd_lb_stats.constprop.0
     0.04%            21  redis-server     [kernel.vmlinux]  [k] sock_write_iter
     0.04%            21  redis-server     [nf_conntrack]    [k] get_l4proto
     0.04%            20  redis-server     [kernel.vmlinux]  [k] page_counter_try_charge
     0.04%            20  redis-server     [kernel.vmlinux]  [k] net_tx_action
     0.04%            20  redis-server     libc.so.6         [.] __GI___pthread_disable_asynccancel
     0.04%            21  redis-server     [mlx5_core]       [k] 0x000000000004db80
     0.04%            20  redis-server     [kernel.vmlinux]  [k] kmalloc_reserve
     0.04%            19  redis-server     [mlx5_core]       [k] 0x000000000004c750
     0.04%            20  redis-server     redis-server      [.] beforeSleep
     0.04%            20  redis-server     redis-server      [.] string2ll
     0.04%            20  redis-server     [kernel.vmlinux]  [k] __radix_tree_lookup
     0.04%            19  redis-server     [kernel.vmlinux]  [k] __module_address.part.0
     0.04%            20  redis-server     [kernel.vmlinux]  [k] tcp_rate_check_app_limited
     0.04%            19  redis-server     redis-server      [.] sdsMakeRoomFor
     0.04%            20  redis-server     redis-server      [.] handleClientsWithPendingWrites
     0.04%            20  redis-server     [kernel.vmlinux]  [k] rseq_update_cpu_node_id
     0.04%            18  redis-server     [kernel.vmlinux]  [k] ip_local_deliver
     0.04%            19  redis-server     [kernel.vmlinux]  [k] __get_xps_queue_idx
     0.04%            18  redis-server     [mlx5_core]       [k] 0x00000000000502f3
     0.04%            18  redis-server     [kernel.vmlinux]  [k] __audit_syscall_exit
     0.04%            19  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock_bh
     0.04%            18  redis-server     libc.so.6         [.] __strchr_evex
     0.04%            18  redis-server     [kernel.vmlinux]  [k] __update_load_avg_se
     0.04%            18  redis-server     [kernel.vmlinux]  [k] syscall_exit_work
     0.04%            18  redis-server     [kernel.vmlinux]  [k] llist_add_batch
     0.04%            18  redis-server     [kernel.vmlinux]  [k] tcp_update_pacing_rate
     0.04%            18  redis-server     [kernel.vmlinux]  [k] common_interrupt
     0.04%            17  redis-server     [kernel.vmlinux]  [k] ip_local_deliver_finish
     0.04%            17  redis-server     [kernel.vmlinux]  [k] tcp_ack_update_window.isra.0
     0.04%            18  redis-server     [kernel.vmlinux]  [k] nf_hook_slow_list
     0.04%            18  redis-server     redis-server      [.] dictSdsHash
