# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44K of event 'cycles'
# Event count (approx.): 98282321717
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.08%            34  redis-server     [kernel.vmlinux]  [k] get_nohz_timer_target
     0.07%            34  redis-server     redis-server      [.] sdsIncrLen
     0.07%            33  redis-server     [kernel.vmlinux]  [k] do_epoll_wait
     0.07%            33  redis-server     [kernel.vmlinux]  [k] tcp_write_xmit
     0.07%            34  redis-server     [kernel.vmlinux]  [k] dev_hard_start_xmit
     0.07%            31  redis-server     [kernel.vmlinux]  [k] validate_xmit_skb_list
     0.07%            31  redis-server     [kernel.vmlinux]  [k] __update_load_avg_se
     0.07%            32  redis-server     [nf_conntrack]    [k] get_l4proto
     0.07%            30  redis-server     [mlx5_core]       [k] mlx5e_handle_csum.isra.0
     0.07%            31  redis-server     [kernel.vmlinux]  [k] ip_output
     0.07%            31  redis-server     [kernel.vmlinux]  [k] gro_list_prepare
     0.07%            30  redis-server     [kernel.vmlinux]  [k] llist_add_batch
     0.07%            31  redis-server     [kernel.vmlinux]  [k] __refill_stock
     0.07%            30  redis-server     [kernel.vmlinux]  [k] __tcp_select_window
     0.07%            29  redis-server     [kernel.vmlinux]  [k] ktime_get_ts64
     0.07%            30  redis-server     [nf_conntrack]    [k] hash_conntrack_raw
     0.07%            30  redis-server     [kernel.vmlinux]  [k] __this_cpu_preempt_check
     0.07%            29  redis-server     [kernel.vmlinux]  [k] validate_xmit_skb.constprop.0
     0.07%            30  redis-server     [kernel.vmlinux]  [k] __get_xps_queue_idx
     0.07%            29  redis-server     [kernel.vmlinux]  [k] fib_table_lookup
     0.07%            28  redis-server     [kernel.vmlinux]  [k] skb_page_frag_refill
     0.07%            29  redis-server     [kernel.vmlinux]  [k] tcp_rtt_estimator
     0.06%            29  redis-server     [kernel.vmlinux]  [k] update_sd_lb_stats.constprop.0
     0.06%            28  redis-server     [kernel.vmlinux]  [k] skb_network_protocol
     0.06%            28  redis-server     [nf_nat]          [k] nf_nat_ipv4_out
     0.06%            27  redis-server     [kernel.vmlinux]  [k] napi_gro_receive
     0.06%            27  redis-server     [kernel.vmlinux]  [k] kmemleak_alloc
     0.06%            27  redis-server     [kernel.vmlinux]  [k] __x64_sys_epoll_wait
     0.06%            27  redis-server     [kernel.vmlinux]  [k] netif_receive_skb_list_internal
     0.06%            28  redis-server     [kernel.vmlinux]  [k] netif_skb_features
     0.06%            27  redis-server     [kernel.vmlinux]  [k] mutex_unlock
     0.06%            27  redis-server     [mlx5_core]       [k] mlx5e_sq_xmit_prepare.isra.0
     0.06%            27  redis-server     [kernel.vmlinux]  [k] tcp_v4_send_check
     0.06%            27  redis-server     [kernel.vmlinux]  [k] __netif_receive_skb_list_core
     0.06%            26  redis-server     redis-server      [.] handleClientsWithPendingWrites
     0.06%            25  redis-server     [mlx5_core]       [k] mlx5e_page_alloc_fragmented
     0.06%            26  redis-server     [kernel.vmlinux]  [k] __sk_dst_check
     0.06%            27  redis-server     [kernel.vmlinux]  [k] ip_sublist_rcv
     0.06%            28  redis-server     libc.so.6         [.] __GI___pthread_disable_asynccancel
     0.06%            27  redis-server     [kernel.vmlinux]  [k] tcp_data_queue
     0.06%            26  redis-server     [kernel.vmlinux]  [k] native_apic_msr_eoi
     0.06%            26  redis-server     redis-server      [.] processCommand
     0.06%            28  redis-server     [kernel.vmlinux]  [k] update_min_vruntime
     0.06%            27  redis-server     [kernel.vmlinux]  [k] do_raw_write_unlock
     0.06%            27  redis-server     [kernel.vmlinux]  [k] _raw_write_unlock_irq
     0.06%            25  redis-server     [kernel.vmlinux]  [k] ip_rcv_finish_core.constprop.0
     0.06%            25  redis-server     [nf_nat]          [k] nf_nat_ipv4_local_fn
     0.06%            25  redis-server     redis-server      [.] createEmbeddedStringObject
     0.06%            26  redis-server     [mlx5_core]       [k] mlx5e_consume_skb
     0.06%            25  redis-server     [kernel.vmlinux]  [k] __ip_finish_output
     0.06%            25  redis-server     [kernel.vmlinux]  [k] fpregs_assert_state_consistent
     0.05%            25  redis-server     [kernel.vmlinux]  [k] _raw_spin_unlock
     0.05%            25  redis-server     [kernel.vmlinux]  [k] ksys_read
     0.05%            23  redis-server     redis-server      [.] siphash_nocase
     0.05%            23  redis-server     [kernel.vmlinux]  [k] tcp_options_write.constprop.0
     0.05%            24  redis-server     redis-server      [.] string2ll
     0.05%            23  redis-server     libc.so.6         [.] clock_gettime@@GLIBC_2.17
