# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cycles'
# Event count (approx.): 84431220089
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.07%            27  redis-server     [kernel.vmlinux]  [k] __this_cpu_preempt_check
     0.07%            27  redis-server     [kernel.vmlinux]  [k] update_min_vruntime
     0.07%            27  redis-server     [kernel.vmlinux]  [k] schedule_hrtimeout_range_clock
     0.07%            27  redis-server     [kernel.vmlinux]  [k] update_irq_load_avg
     0.07%            26  redis-server     [kernel.vmlinux]  [k] skb_page_frag_refill
     0.07%            27  redis-server     [nf_conntrack]    [k] nf_confirm
     0.07%            27  redis-server     [nf_nat]          [k] nf_nat_ipv4_out
     0.07%            26  redis-server     [kernel.vmlinux]  [k] skb_network_protocol
     0.07%            25  redis-server     [kernel.vmlinux]  [k] native_apic_msr_eoi
     0.07%            25  redis-server     redis-server      [.] call
     0.07%            28  redis-server     [kernel.vmlinux]  [k] __tcp_select_window
     0.07%            27  redis-server     [kernel.vmlinux]  [k] syscall_exit_work
     0.07%            25  redis-server     redis-server      [.] _sdsnewlen
     0.06%            27  redis-server     redis-server      [.] beforeSleep
     0.06%            26  redis-server     [mlx5_core]       [k] 0x000000000004ff16
     0.06%            25  redis-server     [kernel.vmlinux]  [k] skb_release_head_state
     0.06%            25  redis-server     [kernel.vmlinux]  [k] __might_fault
     0.06%            22  redis-server     [kernel.vmlinux]  [k] ip_local_deliver
     0.06%            26  redis-server     [kernel.vmlinux]  [k] ip_output
     0.06%            24  redis-server     libc.so.6         [.] __GI___pthread_disable_asynccancel
     0.06%            24  redis-server     [kernel.vmlinux]  [k] do_raw_write_unlock
     0.06%            23  redis-server     [kernel.vmlinux]  [k] switch_fpu_return
     0.06%            24  redis-server     redis-server      [.] activeExpireCycle
     0.06%            26  redis-server     [kernel.vmlinux]  [k] validate_xmit_skb.constprop.0
     0.06%            24  redis-server     [kernel.vmlinux]  [k] netif_skb_features
     0.06%            25  redis-server     [kernel.vmlinux]  [k] ksys_read
     0.06%            23  redis-server     [kernel.vmlinux]  [k] netdev_core_pick_tx
     0.06%            25  redis-server     [kernel.vmlinux]  [k] tcp_rtt_estimator
     0.06%            25  redis-server     [kernel.vmlinux]  [k] get_nohz_timer_target
     0.06%            24  redis-server     [kernel.vmlinux]  [k] validate_xmit_skb_list
     0.06%            24  redis-server     [kernel.vmlinux]  [k] mutex_unlock
     0.06%            23  redis-server     [kernel.vmlinux]  [k] __get_xps_queue_idx
     0.06%            22  redis-server     [kernel.vmlinux]  [k] select_task_rq
     0.06%            24  redis-server     [kernel.vmlinux]  [k] _raw_write_unlock_irq
     0.06%            21  redis-server     redis-server      [.] dictSdsKeyCompare
     0.05%            24  redis-server     [kernel.vmlinux]  [k] __intel_pmu_enable_all.constprop.0
     0.05%            23  redis-server     redis-server      [.] string2ll
     0.05%            21  redis-server     [kernel.vmlinux]  [k] ktime_get_coarse_real_ts64
     0.05%            21  redis-server     [kernel.vmlinux]  [k] __x64_sys_epoll_wait
     0.05%            19  redis-server     [mlx5_core]       [k] 0x000000000004d238
     0.05%            20  redis-server     [kernel.vmlinux]  [k] __sk_dst_check
     0.05%            21  redis-server     [kernel.vmlinux]  [k] __ip_finish_output
     0.05%            21  redis-server     [kernel.vmlinux]  [k] mod_find
     0.05%            21  redis-server     [kernel.vmlinux]  [k] llist_add_batch
     0.05%            21  redis-server     [kernel.vmlinux]  [k] __fib_validate_source
     0.05%            20  redis-server     [kernel.vmlinux]  [k] kmalloc_reserve
     0.05%            21  redis-server     [kernel.vmlinux]  [k] lock_sock_nested
     0.05%            19  redis-server     [kernel.vmlinux]  [k] netif_receive_skb_list_internal
     0.05%            20  redis-server     [mlx5_core]       [k] 0x000000000000c963
     0.05%            20  redis-server     [kernel.vmlinux]  [k] napi_gro_receive
     0.05%            19  redis-server     [kernel.vmlinux]  [k] nf_conntrack_put
     0.05%            17  redis-server     [kernel.vmlinux]  [k] __hrtimer_init
     0.05%            20  redis-server     [kernel.vmlinux]  [k] syscall_return_via_sysret
     0.05%            19  redis-server     [kernel.vmlinux]  [k] find_busiest_queue
     0.05%            20  redis-server     [kernel.vmlinux]  [k] tcp4_gro_receive
     0.05%            19  redis-server     [kernel.vmlinux]  [k] ipv4_dst_check
     0.05%            19  redis-server     [kernel.vmlinux]  [k] __put_user_8
     0.05%            20  redis-server     [kernel.vmlinux]  [k] __update_load_avg_se
     0.05%            19  redis-server     [kernel.vmlinux]  [k] queued_write_lock_slowpath
     0.05%            18  redis-server     [kernel.vmlinux]  [k] dma_sync_single_for_cpu
     0.05%            19  redis-server     [kernel.vmlinux]  [k] __get_user_8
     0.05%            18  redis-server     [kernel.vmlinux]  [k] napi_gro_complete.constprop.0
     0.05%            19  redis-server     [kernel.vmlinux]  [k] schedule
     0.05%            18  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock
     0.05%            16  redis-server     [kernel.vmlinux]  [k] hrtimer_start_range_ns
     0.05%            18  redis-server     redis-server      [.] afterSleep
     0.04%            16  redis-server     [kernel.vmlinux]  [k] tcp_data_ready
     0.04%            18  redis-server     [kernel.vmlinux]  [k] dev_hard_start_xmit
     0.04%            17  redis-server     [kernel.vmlinux]  [k] simple_copy_to_iter
     0.04%            16  redis-server     [kernel.vmlinux]  [k] rcu_note_context_switch
     0.04%            18  redis-server     [kernel.vmlinux]  [k] irqtime_account_irq
     0.04%            17  redis-server     [kernel.vmlinux]  [k] update_blocked_averages
     0.04%            18  redis-server     [kernel.vmlinux]  [k] napi_complete_done
     0.04%            18  redis-server     [kernel.vmlinux]  [k] _raw_write_lock_irq
     0.04%            18  redis-server     redis-server      [.] sdsMakeRoomFor
     0.04%            17  redis-server     redis-server      [.] commandProcessed
     0.04%            18  redis-server     [kernel.vmlinux]  [k] ip_rcv_finish_core.constprop.0
     0.04%            17  redis-server     [kernel.vmlinux]  [k] hrtimer_try_to_cancel
     0.04%            19  redis-server     libc.so.6         [.] __strchr_evex
